"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
5,"1","N1","T0",1,0.2919,0.7081,"HIGH"
6,"1","N1","T0",1,0.2919,0.7081,"HIGH"
7,"1","N1","T0",1,0.2919,0.7081,"HIGH"
8,"1","N1","T0",1,0.2919,0.7081,"HIGH"
9,"1","N1","T0",1,0.2919,0.7081,"HIGH"
10,"1","N1","T0",1,0.2919,0.7081,"HIGH"
11,"1","N1","T0",1,0.2919,0.7081,"HIGH"
12,"1","N1","T0",1,0.2919,0.7081,"HIGH"
13,"1","N1","T0",1,0.2919,0.7081,"HIGH"
14,"1","N1","T0",1,0.2919,0.7081,"HIGH"
15,"1","N1","T0",1,0.2919,0.7081,"HIGH"
16,"1","N1","T0",1,0.2919,0.7081,"HIGH"
17,"1","N1","T0",1,0.2919,0.7081,"HIGH"
18,"1","N1","T0",1,0.2926,0.7074,"HIGH"
19,"1","N1","T0",1,0.3049,0.6951,"HIGH"
20,"1","N1","T0",1,0.28,0.72,"HIGH"
21,"1","N1","T0",1,0.2778,0.7222,"HIGH"
22,"1","N1","T0",1,0.3234,0.6766,"HIGH"
23,"1","N1","T0",1,0.3356,0.6644,"HIGH"
24,"1","N1","T0",1,0.314,0.686,"HIGH"
25,"1","N1","T0",1,0.2632,0.7368,"HIGH"
26,"1","N1","T0",1,0.2338,0.7662,"HIGH"
27,"1","N1","T0",1,0.229,0.771,"HIGH"
28,"1","N1","T0",1,0.2227,0.7773,"HIGH"
29,"1","N1","T0",1,0.2312,0.7688,"HIGH"
30,"1","N1","T0",1,0.2048,0.7952,"HIGH"
31,"1","N1","T0",1,0.234,0.766,"HIGH"
32,"1","N1","T0",1,0.3234,0.6766,"HIGH"
33,"1","N1","T0",1,0.2976,0.7024,"HIGH"
34,"1","N1","T0",1,0.3083,0.6917,"HIGH"
35,"1","N1","T0",1,0.3113,0.6887,"HIGH"
36,"1","N1","T0",1,0.2967,0.7033,"HIGH"
37,"1","N1","T0",1,0.2779,0.7221,"HIGH"
38,"1","N1","T0",1,0.3269,0.6731,"HIGH"
39,"1","N1","T0",1,0.3202,0.6798,"HIGH"
40,"1","N1","T0",1,0.3043,0.6957,"HIGH"
41,"1","N1","T0",1,0.291,0.709,"HIGH"
42,"1","N1","T0",1,0.3177,0.6823,"HIGH"
43,"1","N1","T0",1,0.2812,0.7188,"HIGH"
44,"1","N1","T0",1,0.2728,0.7272,"HIGH"
45,"1","N1","T0",1,0.2605,0.7395,"HIGH"
46,"1","N1","T0",1,0.3249,0.6751,"HIGH"
47,"1","N1","T0",1,0.3504,0.6496,"HIGH"
48,"1","N1","T0",1,0.4342,0.5658,"HIGH"
49,"1","N1","T0",1,0.4568,0.5432,"HIGH"
50,"1","N1","T0",1,0.4425,0.5575,"HIGH"
51,"1","N1","T0",1,0.4142,0.5858,"HIGH"
52,"1","N1","T0",1,0.4155,0.5845,"HIGH"
53,"1","N1","T0",1,0.4576,0.5424,"HIGH"
54,"1","N1","T0",1,0.4068,0.5932,"HIGH"
55,"1","N1","T0",1,0.2878,0.7122,"HIGH"
56,"1","N1","T0",1,0.3056,0.6944,"HIGH"
57,"1","N1","T0",1,0.3119,0.6881,"HIGH"
58,"1","N1","T0",1,0.2977,0.7023,"HIGH"
59,"1","N1","T0",1,0.3776,0.6224,"HIGH"
60,"1","N1","T0",1,0.4373,0.5627,"HIGH"
61,"1","N1","T0",1,0.4895,0.5105,"HIGH"
62,"1","N1","T0",1,0.5063,0.4937,"LOW"
63,"1","N1","T0",1,0.4219,0.5781,"HIGH"
64,"1","N1","T0",1,0.3646,0.6354,"HIGH"
65,"1","N1","T0",1,0.255,0.745,"HIGH"
66,"1","N1","T0",1,0.2455,0.7545,"HIGH"
67,"1","N1","T0",1,0.3204,0.6796,"HIGH"
68,"1","N1","T0",1,0.3119,0.6881,"HIGH"
69,"1","N1","T0",1,0.2983,0.7017,"HIGH"
70,"1","N1","T0",1,0.3142,0.6858,"HIGH"
71,"1","N1","T0",1,0.3239,0.6761,"HIGH"
72,"1","N1","T0",1,0.3108,0.6892,"HIGH"
73,"1","N1","T0",1,0.4609,0.5391,"HIGH"
74,"1","N1","T0",1,0.3218,0.6782,"HIGH"
75,"1","N1","T0",1,0.3904,0.6096,"HIGH"
76,"1","N1","T0",1,0.4223,0.5777,"HIGH"
77,"1","N1","T0",1,0.4793,0.5207,"HIGH"
78,"1","N1","T0",1,0.5575,0.4425,"LOW"
79,"1","N1","T0",1,0.3974,0.6026,"HIGH"
80,"1","N1","T0",1,0.3438,0.6562,"HIGH"
81,"1","N1","T0",1,0.2075,0.7925,"HIGH"
82,"1","N1","T0",1,0.2312,0.7688,"HIGH"
83,"1","N1","T0",1,0.225,0.775,"HIGH"
84,"1","N1","T0",1,0.2878,0.7122,"HIGH"
85,"1","N1","T0",1,0.3183,0.6817,"HIGH"
86,"1","N1","T0",1,0.3187,0.6813,"HIGH"
87,"1","N1","T0",1,0.2756,0.7244,"HIGH"
88,"1","N1","T0",1,0.2517,0.7483,"HIGH"
89,"1","N1","T0",1,0.3053,0.6947,"HIGH"
90,"1","N1","T0",1,0.3169,0.6831,"HIGH"
91,"1","N1","T0",1,0.3169,0.6831,"HIGH"
92,"1","N1","T0",1,0.3169,0.6831,"HIGH"
93,"1","N1","T0",1,0.3169,0.6831,"HIGH"
94,"1","N1","T0",1,0.3169,0.6831,"HIGH"
95,"1","N1","T0",1,0.3169,0.6831,"HIGH"
96,"1","N1","T0",1,0.3169,0.6831,"HIGH"
97,"1","N1","T0",1,0.3169,0.6831,"HIGH"
98,"1","N1","T0",1,0.3169,0.6831,"HIGH"
99,"1","N1","T0",1,0.3169,0.6831,"HIGH"
0,"2","N1","T0",1,0.2385,0.7615,"HIGH"
1,"2","N1","T0",1,0.2385,0.7615,"HIGH"
2,"2","N1","T0",1,0.2385,0.7615,"HIGH"
3,"2","N1","T0",1,0.2385,0.7615,"HIGH"
4,"2","N1","T0",1,0.2385,0.7615,"HIGH"
5,"2","N1","T0",1,0.2385,0.7615,"HIGH"
6,"2","N1","T0",1,0.2385,0.7615,"HIGH"
7,"2","N1","T0",1,0.2385,0.7615,"HIGH"
8,"2","N1","T0",1,0.2385,0.7615,"HIGH"
9,"2","N1","T0",1,0.2385,0.7615,"HIGH"
10,"2","N1","T0",1,0.2385,0.7615,"HIGH"
11,"2","N1","T0",1,0.2385,0.7615,"HIGH"
12,"2","N1","T0",1,0.2385,0.7615,"HIGH"
13,"2","N1","T0",1,0.2385,0.7615,"HIGH"
14,"2","N1","T0",1,0.2385,0.7615,"HIGH"
15,"2","N1","T0",1,0.2385,0.7615,"HIGH"
16,"2","N1","T0",1,0.2385,0.7615,"HIGH"
17,"2","N1","T0",1,0.2385,0.7615,"HIGH"
18,"2","N1","T0",1,0.2391,0.7609,"HIGH"
19,"2","N1","T0",1,0.2451,0.7549,"HIGH"
20,"2","N1","T0",1,0.235,0.765,"HIGH"
21,"2","N1","T0",1,0.235,0.765,"HIGH"
22,"2","N1","T0",1,0.2627,0.7373,"HIGH"
23,"2","N1","T0",1,0.2658,0.7342,"HIGH"
24,"2","N1","T0",1,0.2594,0.7406,"HIGH"
25,"2","N1","T0",1,0.2653,0.7347,"HIGH"
26,"2","N1","T0",1,0.2133,0.7867,"HIGH"
27,"2","N1","T0",1,0.1994,0.8006,"HIGH"
28,"2","N1","T0",1,0.1904,0.8096,"HIGH"
29,"2","N1","T0",1,0.2032,0.7968,"HIGH"
30,"2","N1","T0",1,0.1692,0.8308,"HIGH"
31,"2","N1","T0",1,0.1979,0.8021,"HIGH"
32,"2","N1","T0",1,0.2366,0.7634,"HIGH"
33,"2","N1","T0",1,0.2237,0.7763,"HIGH"
34,"2","N1","T0",1,0.1725,0.8275,"HIGH"
35,"2","N1","T0",1,0.149,0.851,"HIGH"
36,"2","N1","T0",1,0.1452,0.8548,"HIGH"
37,"2","N1","T0",1,0.1245,0.8755,"HIGH"
38,"2","N1","T0",1,0.1359,0.8641,"HIGH"
39,"2","N1","T0",1,0.1541,0.8459,"HIGH"
40,"2","N1","T0",1,0.1322,0.8678,"HIGH"
41,"2","N1","T0",1,0.1334,0.8666,"HIGH"
42,"2","N1","T0",1,0.1598,0.8402,"HIGH"
43,"2","N1","T0",1,0.1483,0.8517,"HIGH"
44,"2","N1","T0",1,0.1276,0.8724,"HIGH"
45,"2","N1","T0",1,0.14,0.86,"HIGH"
46,"2","N1","T0",1,0.1755,0.8245,"HIGH"
47,"2","N1","T0",1,0.1832,0.8168,"HIGH"
48,"2","N1","T0",1,0.2203,0.7797,"HIGH"
49,"2","N1","T0",1,0.1891,0.8109,"HIGH"
50,"2","N1","T0",1,0.1963,0.8037,"HIGH"
51,"2","N1","T0",1,0.1801,0.8199,"HIGH"
52,"2","N1","T0",1,0.194,0.806,"HIGH"
53,"2","N1","T0",1,0.2171,0.7829,"HIGH"
54,"2","N1","T0",1,0.2755,0.7245,"HIGH"
55,"2","N1","T0",1,0.3646,0.6354,"HIGH"
56,"2","N1","T0",1,0.4095,0.5905,"HIGH"
57,"2","N1","T0",1,0.3706,0.6294,"HIGH"
