"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
36,"2","N1","T0",0.2157,0.7843,"HIGH"
37,"2","N1","T0",0.2291,0.7709,"HIGH"
38,"2","N1","T0",0.2328,0.7672,"HIGH"
39,"2","N1","T0",0.2179,0.7821,"HIGH"
40,"2","N1","T0",0.2368,0.7632,"HIGH"
41,"2","N1","T0",0.2411,0.7589,"HIGH"
42,"2","N1","T0",0.2413,0.7587,"HIGH"
43,"2","N1","T0",0.2448,0.7552,"HIGH"
44,"2","N1","T0",0.2433,0.7567,"HIGH"
45,"2","N1","T0",0.2244,0.7756,"HIGH"
46,"2","N1","T0",0.2151,0.7849,"HIGH"
47,"2","N1","T0",0.219,0.781,"HIGH"
48,"2","N1","T0",0.2107,0.7893,"HIGH"
49,"2","N1","T0",0.2151,0.7849,"HIGH"
50,"2","N1","T0",0.2391,0.7609,"HIGH"
51,"2","N1","T0",0.2823,0.7177,"HIGH"
52,"2","N1","T0",0.305,0.695,"HIGH"
53,"2","N1","T0",0.3006,0.6994,"HIGH"
54,"2","N1","T0",0.4005,0.5995,"HIGH"
55,"2","N1","T0",0.3653,0.6347,"HIGH"
56,"2","N1","T0",0.3608,0.6392,"HIGH"
57,"2","N1","T0",0.3294,0.6706,"HIGH"
58,"2","N1","T0",0.326,0.674,"HIGH"
59,"2","N1","T0",0.3443,0.6557,"HIGH"
60,"2","N1","T0",0.4423,0.5577,"HIGH"
61,"2","N1","T0",0.3483,0.6517,"HIGH"
62,"2","N1","T0",0.3158,0.6842,"HIGH"
63,"2","N1","T0",0.3362,0.6638,"HIGH"
64,"2","N1","T0",0.334,0.666,"HIGH"
65,"2","N1","T0",0.3505,0.6495,"HIGH"
66,"2","N1","T0",0.345,0.655,"HIGH"
67,"2","N1","T0",0.3234,0.6766,"HIGH"
68,"2","N1","T0",0.4124,0.5876,"HIGH"
69,"2","N1","T0",0.4424,0.5576,"HIGH"
70,"2","N1","T0",0.3897,0.6103,"HIGH"
71,"2","N1","T0",0.3257,0.6743,"HIGH"
72,"2","N1","T0",0.2955,0.7045,"HIGH"
73,"2","N1","T0",0.4144,0.5856,"HIGH"
74,"2","N1","T0",0.3636,0.6364,"HIGH"
75,"2","N1","T0",0.4051,0.5949,"HIGH"
76,"2","N1","T0",0.328,0.672,"HIGH"
77,"2","N1","T0",0.3712,0.6288,"HIGH"
78,"2","N1","T0",0.3486,0.6514,"HIGH"
79,"2","N1","T0",0.3844,0.6156,"HIGH"
80,"2","N1","T0",0.3235,0.6765,"HIGH"
81,"2","N1","T0",0.3018,0.6982,"HIGH"
82,"2","N1","T0",0.2568,0.7432,"HIGH"
83,"2","N1","T0",0.2475,0.7525,"HIGH"
84,"2","N1","T0",0.2264,0.7736,"HIGH"
85,"2","N1","T0",0.2279,0.7721,"HIGH"
86,"2","N1","T0",0.2461,0.7539,"HIGH"
87,"2","N1","T0",0.3685,0.6315,"HIGH"
88,"2","N1","T0",0.2196,0.7804,"HIGH"
89,"2","N1","T0",0.1888,0.8112,"HIGH"
90,"2","N1","T0",0.2071,0.7929,"HIGH"
91,"2","N1","T0",0.2071,0.7929,"HIGH"
92,"2","N1","T0",0.2071,0.7929,"HIGH"
93,"2","N1","T0",0.2071,0.7929,"HIGH"
94,"2","N1","T0",0.2071,0.7929,"HIGH"
95,"2","N1","T0",0.2071,0.7929,"HIGH"
96,"2","N1","T0",0.2071,0.7929,"HIGH"
97,"2","N1","T0",0.2071,0.7929,"HIGH"
98,"2","N1","T0",0.2071,0.7929,"HIGH"
99,"2","N1","T0",0.2071,0.7929,"HIGH"
0,"1","N2","T0",0.3619,0.6381,"HIGH"
1,"1","N2","T0",0.3619,0.6381,"HIGH"
2,"1","N2","T0",0.3619,0.6381,"HIGH"
3,"1","N2","T0",0.3619,0.6381,"HIGH"
4,"1","N2","T0",0.3619,0.6381,"HIGH"
5,"1","N2","T0",0.3619,0.6381,"HIGH"
6,"1","N2","T0",0.3619,0.6381,"HIGH"
7,"1","N2","T0",0.3619,0.6381,"HIGH"
8,"1","N2","T0",0.3619,0.6381,"HIGH"
9,"1","N2","T0",0.3639,0.6361,"HIGH"
10,"1","N2","T0",0.3639,0.6361,"HIGH"
11,"1","N2","T0",0.3639,0.6361,"HIGH"
12,"1","N2","T0",0.3639,0.6361,"HIGH"
13,"1","N2","T0",0.3495,0.6505,"HIGH"
14,"1","N2","T0",0.3495,0.6505,"HIGH"
15,"1","N2","T0",0.3435,0.6565,"HIGH"
16,"1","N2","T0",0.3435,0.6565,"HIGH"
17,"1","N2","T0",0.3445,0.6555,"HIGH"
18,"1","N2","T0",0.3475,0.6525,"HIGH"
19,"1","N2","T0",0.3384,0.6616,"HIGH"
20,"1","N2","T0",0.3534,0.6466,"HIGH"
21,"1","N2","T0",0.3508,0.6492,"HIGH"
22,"1","N2","T0",0.3106,0.6894,"HIGH"
23,"1","N2","T0",0.3113,0.6887,"HIGH"
24,"1","N2","T0",0.2925,0.7075,"HIGH"
25,"1","N2","T0",0.259,0.741,"HIGH"
26,"1","N2","T0",0.2545,0.7455,"HIGH"
27,"1","N2","T0",0.256,0.744,"HIGH"
28,"1","N2","T0",0.2532,0.7468,"HIGH"
29,"1","N2","T0",0.2571,0.7429,"HIGH"
30,"1","N2","T0",0.3062,0.6938,"HIGH"
31,"1","N2","T0",0.344,0.656,"HIGH"
32,"1","N2","T0",0.3488,0.6512,"HIGH"
33,"1","N2","T0",0.3513,0.6487,"HIGH"
34,"1","N2","T0",0.2313,0.7687,"HIGH"
35,"1","N2","T0",0.232,0.768,"HIGH"
36,"1","N2","T0",0.2264,0.7736,"HIGH"
37,"1","N2","T0",0.2253,0.7747,"HIGH"
38,"1","N2","T0",0.2286,0.7714,"HIGH"
39,"1","N2","T0",0.2327,0.7673,"HIGH"
40,"1","N2","T0",0.2496,0.7504,"HIGH"
41,"1","N2","T0",0.2567,0.7433,"HIGH"
42,"1","N2","T0",0.237,0.763,"HIGH"
43,"1","N2","T0",0.237,0.763,"HIGH"
44,"1","N2","T0",0.2789,0.7211,"HIGH"
45,"1","N2","T0",0.2519,0.7481,"HIGH"
46,"1","N2","T0",0.3306,0.6694,"HIGH"
47,"1","N2","T0",0.2588,0.7412,"HIGH"
48,"1","N2","T0",0.2374,0.7626,"HIGH"
49,"1","N2","T0",0.2548,0.7452,"HIGH"
50,"1","N2","T0",0.317,0.683,"HIGH"
51,"1","N2","T0",0.3306,0.6694,"HIGH"
52,"1","N2","T0",0.2723,0.7277,"HIGH"
53,"1","N2","T0",0.2787,0.7213,"HIGH"
54,"1","N2","T0",0.3087,0.6913,"HIGH"
55,"1","N2","T0",0.4222,0.5778,"HIGH"
56,"1","N2","T0",0.3959,0.6041,"HIGH"
57,"1","N2","T0",0.4711,0.5289,"HIGH"
58,"1","N2","T0",0.4492,0.5508,"HIGH"
59,"1","N2","T0",0.4575,0.5425,"HIGH"
60,"1","N2","T0",0.4495,0.5505,"HIGH"
61,"1","N2","T0",0.455,0.545,"HIGH"
62,"1","N2","T0",0.4599,0.5401,"HIGH"
63,"1","N2","T0",0.442,0.558,"HIGH"
