"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
55,"1","N2","T0",0.4679,0.5321,"HIGH"
56,"1","N2","T0",0.4479,0.5521,"HIGH"
57,"1","N2","T0",0.3861,0.6139,"HIGH"
58,"1","N2","T0",0.3885,0.6115,"HIGH"
59,"1","N2","T0",0.3792,0.6208,"HIGH"
60,"1","N2","T0",0.3733,0.6267,"HIGH"
61,"1","N2","T0",0.3497,0.6503,"HIGH"
62,"1","N2","T0",0.3478,0.6522,"HIGH"
63,"1","N2","T0",0.3337,0.6663,"HIGH"
64,"1","N2","T0",0.3302,0.6698,"HIGH"
65,"1","N2","T0",0.3123,0.6877,"HIGH"
66,"1","N2","T0",0.2463,0.7537,"HIGH"
67,"1","N2","T0",0.2238,0.7762,"HIGH"
68,"1","N2","T0",0.2048,0.7952,"HIGH"
69,"1","N2","T0",0.2094,0.7906,"HIGH"
70,"1","N2","T0",0.2024,0.7976,"HIGH"
71,"1","N2","T0",0.2001,0.7999,"HIGH"
72,"1","N2","T0",0.1912,0.8088,"HIGH"
73,"1","N2","T0",0.1992,0.8008,"HIGH"
74,"1","N2","T0",0.2029,0.7971,"HIGH"
75,"1","N2","T0",0.221,0.779,"HIGH"
76,"1","N2","T0",0.2216,0.7784,"HIGH"
77,"1","N2","T0",0.2316,0.7684,"HIGH"
78,"1","N2","T0",0.2582,0.7418,"HIGH"
79,"1","N2","T0",0.2409,0.7591,"HIGH"
80,"1","N2","T0",0.2256,0.7744,"HIGH"
81,"1","N2","T0",0.2075,0.7925,"HIGH"
82,"1","N2","T0",0.2606,0.7394,"HIGH"
83,"1","N2","T0",0.2944,0.7056,"HIGH"
84,"1","N2","T0",0.3616,0.6384,"HIGH"
85,"1","N2","T0",0.3654,0.6346,"HIGH"
86,"1","N2","T0",0.3617,0.6383,"HIGH"
87,"1","N2","T0",0.5874,0.4126,"LOW"
88,"1","N2","T0",0.5581,0.4419,"LOW"
89,"1","N2","T0",0.6515,0.3485,"LOW"
90,"1","N2","T0",0.5349,0.4651,"LOW"
91,"1","N2","T0",0.5349,0.4651,"LOW"
92,"1","N2","T0",0.5349,0.4651,"LOW"
93,"1","N2","T0",0.5349,0.4651,"LOW"
94,"1","N2","T0",0.5349,0.4651,"LOW"
95,"1","N2","T0",0.5349,0.4651,"LOW"
96,"1","N2","T0",0.5349,0.4651,"LOW"
97,"1","N2","T0",0.5349,0.4651,"LOW"
98,"1","N2","T0",0.5349,0.4651,"LOW"
99,"1","N2","T0",0.5349,0.4651,"LOW"
0,"2","N2","T0",0.2613,0.7387,"HIGH"
1,"2","N2","T0",0.2613,0.7387,"HIGH"
2,"2","N2","T0",0.2613,0.7387,"HIGH"
