"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
16,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3445,0.6555,"HIGH"
17,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.344,0.656,"HIGH"
18,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3406,0.6594,"HIGH"
19,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3457,0.6543,"HIGH"
20,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3503,0.6497,"HIGH"
21,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3404,0.6596,"HIGH"
22,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3348,0.6652,"HIGH"
23,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3443,0.6557,"HIGH"
24,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3501,0.6499,"HIGH"
25,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3528,0.6472,"HIGH"
26,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3573,0.6427,"HIGH"
27,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3573,0.6427,"HIGH"
28,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3562,0.6438,"HIGH"
29,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3575,0.6425,"HIGH"
30,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3605,0.6395,"HIGH"
31,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3683,0.6317,"HIGH"
32,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3671,0.6329,"HIGH"
33,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3651,0.6349,"HIGH"
34,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3506,0.6494,"HIGH"
35,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3486,0.6514,"HIGH"
36,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3506,0.6494,"HIGH"
37,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3531,0.6469,"HIGH"
38,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3519,0.6481,"HIGH"
39,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3481,0.6519,"HIGH"
40,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3463,0.6537,"HIGH"
41,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3505,0.6495,"HIGH"
42,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3459,0.6541,"HIGH"
43,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3542,0.6458,"HIGH"
44,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.361,0.639,"HIGH"
45,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3713,0.6287,"HIGH"
46,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3739,0.6261,"HIGH"
47,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3798,0.6202,"HIGH"
48,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3839,0.6161,"HIGH"
