"AGE","SEX","TNM_N_cat","TNM_T_cat","retroper_sg_cat","no_metastasis","metastasis","risk_level"
15,"1","Other/Unknown","T0","1",0.7817,0.2183,"LOW"
16,"1","Other/Unknown","T0","1",0.7845,0.2155,"LOW"
17,"1","Other/Unknown","T0","1",0.7882,0.2118,"LOW"
18,"1","Other/Unknown","T0","1",0.7928,0.2072,"LOW"
19,"1","Other/Unknown","T0","1",0.7957,0.2043,"LOW"
20,"1","Other/Unknown","T0","1",0.7974,0.2026,"LOW"
21,"1","Other/Unknown","T0","1",0.7994,0.2006,"LOW"
22,"1","Other/Unknown","T0","1",0.8008,0.1992,"LOW"
23,"1","Other/Unknown","T0","1",0.8018,0.1982,"LOW"
24,"1","Other/Unknown","T0","1",0.8044,0.1956,"LOW"
25,"1","Other/Unknown","T0","1",0.8084,0.1916,"LOW"
26,"1","Other/Unknown","T0","1",0.8088,0.1912,"LOW"
27,"1","Other/Unknown","T0","1",0.8128,0.1872,"LOW"
28,"1","Other/Unknown","T0","1",0.8148,0.1852,"LOW"
29,"1","Other/Unknown","T0","1",0.817,0.183,"LOW"
30,"1","Other/Unknown","T0","1",0.82,0.18,"LOW"
31,"1","Other/Unknown","T0","1",0.8213,0.1787,"LOW"
32,"1","Other/Unknown","T0","1",0.8269,0.1731,"LOW"
33,"1","Other/Unknown","T0","1",0.8285,0.1715,"LOW"
34,"1","Other/Unknown","T0","1",0.8328,0.1672,"LOW"
35,"1","Other/Unknown","T0","1",0.8343,0.1657,"LOW"
36,"1","Other/Unknown","T0","1",0.8345,0.1655,"LOW"
37,"1","Other/Unknown","T0","1",0.8353,0.1647,"LOW"
38,"1","Other/Unknown","T0","1",0.8394,0.1606,"LOW"
39,"1","Other/Unknown","T0","1",0.8419,0.1581,"LOW"
40,"1","Other/Unknown","T0","1",0.8416,0.1584,"LOW"
41,"1","Other/Unknown","T0","1",0.8453,0.1547,"LOW"
42,"1","Other/Unknown","T0","1",0.8463,0.1537,"LOW"
43,"1","Other/Unknown","T0","1",0.8469,0.1531,"LOW"
44,"1","Other/Unknown","T0","1",0.8467,0.1533,"LOW"
45,"1","Other/Unknown","T0","1",0.8455,0.1545,"LOW"
46,"1","Other/Unknown","T0","1",0.8452,0.1548,"LOW"
47,"1","Other/Unknown","T0","1",0.8456,0.1544,"LOW"
48,"1","Other/Unknown","T0","1",0.8456,0.1544,"LOW"
49,"1","Other/Unknown","T0","1",0.8457,0.1543,"LOW"
50,"1","Other/Unknown","T0","1",0.8457,0.1543,"LOW"
51,"1","Other/Unknown","T0","1",0.8469,0.1531,"LOW"
52,"1","Other/Unknown","T0","1",0.8468,0.1532,"LOW"
53,"1","Other/Unknown","T0","1",0.8462,0.1538,"LOW"
54,"1","Other/Unknown","T0","1",0.847,0.153,"LOW"
